serial;Group;Mood before;Lot1;Lot2;Lot3;invs_A;invs_B;invs_C;Age;Gender;Marital;Kids_no;Birth_order;residence;Religion;Overdradt;Mood after;music_rec;music_like;music_effect;music_help;earing
1;0;5;80;100;80;600;300;100;23;0;1;0;3;2;2;2;6;3;3;1;3;1
2;0;2;90;90;90;500;500;;24;0;1;0;3;2;4;2;2;1;1;1;2;1
3;0;5;100;100;100;300;700;;24;0;1;0;1;4;4;2;6;1;3;3;4;1
4;0;7;80;70;80;400;600;;24;0;1;0;1;2;4;1;7;2;3;3;3;1
5;0;6;100;100;100;;1000;;24;0;1;0;1;2;4;1;5;2;3;4;4;1
6;0;5;80;60;80;250;400;350;24;0;1;0;1;2;3;3;5;2;2;1;3;1
7;0;4;100;100;100;;1000;;25;0;1;0;1;2;4;3;4;2;2;1;2;1
8;0;5;100;100;100;600;400;;25;0;1;0;1;2;3;1;6;1;1;3;2;1
10;0;6;80;70;50;400;600;;25;0;1;0;1;2;4;1;6;1;2;1;3;1
11;0;7;90;90;70;400;400;200;25;0;2;0;1;1;4;1;7;1;2;3;3;1
12;0;4;100;100;100;800;200;;25;0;1;0;1;2;4;1;5;2;2;1;3;1
13;0;5;50;70;60;400;400;200;25;0;1;0;3;4;4;3;6;1;2;1;3;1
14;0;6;100;100;100;700;300;;26;0;1;0;2;4;4;1;6;2;2;4;3;1
15;0;6;80;50;80;400;600;;26;0;1;0;3;2;4;2;5;1;1;4;2;1
16;0;7;80;70;60;300;600;100;26;0;1;0;2;2;4;1;7;1;3;1;1;1
17;0;6;100;100;100;600;400;;26;0;1;0;1;4;4;1;6;2;2;1;2;1
19;0;4;70;60;90;300;600;100;26;0;1;0;2;2;5;4;4;1;2;1;3;2
20;0;6;50;30;40;250;750;;26;0;1;0;2;2;4;2;6;1;2;1;3;1
21;0;5;80;100;80;700;300;;26;0;1;0;2;1;4;1;5;2;2;3;4;1
22;0;6;20;50;60;800;200;;26;0;1;0;1;2;4;1;6;1;1;1;3;1
23;0;7;100;100;100;;1000;;26;0;1;0;2;4;1;1;7;1;2;5;5;1
24;0;5;80;100;90;500;500;;26;0;2;0;3;2;2;3;5;2;2;1;3;1
25;0;5;36;100;29;380;410;210;27;0;1;0;3;2;4;2;4;2;2;3;2;1
26;0;6;100;100;40;500;500;;27;0;2;0;1;1;3;3;6;2;3;1;3;1
27;0;6;100;90;100;500;500;;27;0;1;0;3;2;3;2;6;2;3;3;3;1
28;0;4;100;100;100;;;1000;27;0;2;0;2;1;4;2;4;2;3;4;3;1
29;0;7;100;15;100;;1000;;27;0;1;0;3;4;4;2;7;1;2;1;3;1
31;0;7;100;75;100;300;600;100;27;0;1;0;1;2;4;3;7;1;2;1;3;1
32;0;4;90;99;100;700;300;;27;0;1;0;1;4;4;3;4;2;2;2;5;1
33;0;6;90;60;80;600;400;;27;0;1;0;2;4;4;2;6;2;2;1;3;1
34;0;7;100;100;100;200;800;;27;0;2;1;4;1;4;2;7;2;3;1;3;1
35;0;4;100;80;100;200;800;;27;0;1;0;3;2;4;1;4;2;2;2;3;1
36;0;6;80;100;100;500;500;;27;0;1;0;3;2;4;3;7;2;3;2;4;1
37;0;6;100;100;100;;1000;;28;0;1;0;2;2;4;1;6;2;3;1;3;1
38;0;4;100;100;100;300;600;100;28;0;1;0;2;4;4;3;5;1;2;3;4;1
40;0;5;100;100;100;;1000;;28;0;1;0;1;2;4;1;5;1;2;1;3;1
41;0;5;100;100;100;650;350;;28;0;1;0;1;4;5;1;5;2;2;1;3;1
42;0;4;80;100;70;400;600;;29;0;1;1;2;4;1;3;5;2;3;2;2;1
43;0;6;100;100;100;;1000;;29;0;1;0;1;4;4;1;6;1;2;1;2;1
44;0;5;65;70;80;500;200;300;29;0;1;0;2;2;4;1;4;1;3;2;3;1
45;0;6;60;100;65;400;500;100;29;0;1;0;2;4;4;2;6;2;3;3;3;1
46;0;3;70;20;80;250;750;;29;0;1;0;2;4;4;3;5;3;2;3;3;1
47;0;6;100;70;56;300;700;;31;0;2;0;3;4;4;1;6;1;1;2;2;1
48;0;7;100;100;100;300;700;;31;0;2;3;1;1;5;2;7;1;3;4;3;1
49;0;6;100;70;56;300;700;;31;0;2;0;3;4;4;1;6;1;1;2;2;1
50;0;7;100;100;100;300;700;;31;0;2;3;1;1;5;2;7;1;3;4;3;1
51;0;6;90;25;90;700;300;;31;0;2;2;1;4;3;4;6;3;3;1;4;1
52;0;4;100;80;30;600;400;;32;0;2;1;2;1;5;1;4;1;1;4;2;1
53;0;4;80;30;20;900;100;;32;0;2;1;2;1;5;1;4;1;1;4;2;1
54;0;5;100;70;100;;1000;;32;0;2;2;2;4;3;4;4;2;3;2;3;1
55;0;6;50;60;20;400;600;;32;0;2;2;3;1;4;1;6;1;2;3;3;2
56;0;4;40;50;30;500;500;;32;0;2;2;3;1;4;1;4;1;2;3;3;2
57;0;5;60;96;70;600;400;;33;0;2;2;1;1;4;2;5;2;1;2;3;1
59;0;4;0;100;75;300;700;;34;0;2;5;3;1;1;2;5;1;1;2;3;1
60;0;4;100;50;100;500;500;;34;0;2;3;1;1;4;4;7;1;2;3;3;1
61;0;4;100;100;75;300;700;;34;0;2;5;3;1;1;2;5;1;1;2;3;1
62;0;4;100;50;100;500;500;;34;0;2;3;1;1;4;4;7;1;2;3;3;1
65;0;5;50;40;60;200;600;200;37;0;2;3;1;2;3;4;4;2;3;2;4;1
67;0;5;70;90;80;100;900;;38;0;2;3;1;1;4;4;5;1;2;1;3;1
69;0;6;60;100;100;700;300;;22;1;1;0;2;2;2;3;6;1;2;2;3;1
70;0;5;70;60;70;200;600;200;22;1;1;0;1;2;4;3;5;1;2;1;3;1
71;0;7;70;40;70;350;500;150;22;1;1;0;1;2;3;1;7;1;3;1;3;1
72;0;7;80;70;90;600;300;100;23;1;1;0;1;2;4;2;7;1;1;4;2;1
73;0;7;80;100;80;450;500;50;23;1;1;0;1;2;4;1;6;2;2;2;2;1
74;0;3;80;70;70;600;300;100;23;1;1;0;1;2;3;1;4;1;1;3;2;1
75;0;5;90;70;60;600;200;200;23;1;1;0;1;2;4;2;5;1;2;1;2;1
76;0;6;80;70;60;300;700;;24;1;1;0;1;4;4;1;7;1;1;2;2;1
78;0;4;70;80;70;300;700;;24;1;1;0;1;2;3;2;5;2;2;4;2;2
79;0;5;100;100;100;500;500;;24;1;1;0;1;2;3;1;5;1;2;1;2;1
80;0;6;70;20;70;420;580;;24;1;1;0;2;2;3;1;7;1;3;4;5;1
81;0;5;35;75;70;250;350;400;24;1;1;0;1;4;4;4;4;1;2;1;3;1
82;0;5;70;90;80;200;;800;24;1;1;0;2;4;4;1;6;1;2;1;4;1
83;0;7;70;20;80;700;100;200;24;1;1;0;1;2;3;1;4;2;2;3;3;1
84;0;6;60;50;50;400;600;;24;1;1;0;1;2;4;2;6;1;2;3;4;1
85;0;4;50;20;90;400;500;100;24;1;1;0;1;2;3;2;5;2;2;1;3;1
86;0;5;90;60;60;400;600;;24;1;1;0;1;2;3;3;5;2;2;1;3;1
